player_name,back_number,team,normalized_player_name,rating
David Raya,1,arsenal,david raya,6.75
William Saliba,2,arsenal,william saliba,7.06
Cristhian Mosquera,3,arsenal,cristhian mosquera,6.55
Ben White,4,arsenal,ben white,6.808333333333334
Piero HincapiÃÂ©,5,arsenal,piero hincapie,6.808333333333334
Gabriel,6,arsenal,gabriel,7.25
Bukayo Saka,7,arsenal,bukayo saka,7.09
Martin ÃÂdegaard,8,arsenal,martin odegaard,6.59
Gabriel Jesus,9,arsenal,gabriel jesus,6.808333333333334
Eberechi Eze,10,arsenal,eberechi eze,6.98
Gabriel Martinelli,11,arsenal,gabriel martinelli,6.43
Jurrien Timber,12,arsenal,jurrien timber,7.43
Kepa Arrizabalaga,13,arsenal,kepa arrizabalaga,6.808333333333334
Viktor GyÃÂ¶keres,14,arsenal,viktor gyokeres,6.88
Christian NÃÂ¸rgaard,16,arsenal,christian norgaard,6.808333333333334
Leandro Trossard,19,arsenal,leandro trossard,6.67
Noni Madueke,20,arsenal,noni madueke,6.63
Ethan Nwaneri,22,arsenal,ethan nwaneri,6.3
Mikel Merino,23,arsenal,mikel merino,6.55
Kai Havertz,29,arsenal,kai havertz,6.808333333333334
Riccardo Calafiori,33,arsenal,riccardo calafiori,6.93
MartÃÂ­n Zubimendi,36,arsenal,martin zubimendi,7.11
Declan Rice,41,arsenal,declan rice,7.14
Myles Lewis-Skelly,49,arsenal,myles lewis-skelly,6.21
Max Dowman,56,arsenal,max dowman,6.808333333333334
Matty Cash,2,aston villa,matty cash,6.78
Victor LindelÃÂ¶f,3,aston villa,victor lindelof,6.534375
Ezri Konsa,4,aston villa,ezri konsa,6.48
Tyrone Mings,5,aston villa,tyrone mings,6.83
Ross Barkley,6,aston villa,ross barkley,6.534375
John McGinn,7,aston villa,john mcginn,6.65
Youri Tielemans,8,aston villa,youri tielemans,6.4
Harvey Elliott,9,aston villa,harvey elliott,6.534375
Emi BuendÃÂ­a,10,aston villa,emi buendia,6.45
Ollie Watkins,11,aston villa,ollie watkins,6.48
Lucas Digne,12,aston villa,lucas digne,6.65
Pau Torres,14,aston villa,pau torres,6.6
AndrÃÂ©s GarcÃÂ­a,16,aston villa,andres garcia,6.534375
Donyell Malen,17,aston villa,donyell malen,6.37
Jadon Sancho,19,aston villa,jadon sancho,6.534375
Jamaldeen Jimoh-Aloba,20,aston villa,jamaldeen jimoh-aloba,6.534375
Ian Maatsen,22,aston villa,ian maatsen,6.29
Emiliano MartÃÂ­nez,23,aston villa,emiliano martinez,6.58
Amadou Onana,24,aston villa,amadou onana,6.534375
Lamare Bogarde,26,aston villa,lamare bogarde,6.21
Morgan Rogers,27,aston villa,morgan rogers,6.48
Evann Guessand,29,aston villa,evann guessand,6.42
Marco Bizot,40,aston villa,marco bizot,6.534375
Boubacar Kamara,44,aston villa,boubacar kamara,6.88
Djordje PetroviÃÂ,1,bournemouth,djordje petrovic,6.68
JuliÃÂ¡n Araujo,2,bournemouth,julian araujo,6.741333333333333
Adrien Truffert,3,bournemouth,adrien truffert,6.92
Lewis Cook,4,bournemouth,lewis cook,6.741333333333333
Marcos Senesi,5,bournemouth,marcos senesi,7.32
David Brooks,7,bournemouth,david brooks,6.68
Alex Scott,8,bournemouth,alex scott,6.89
Evanilson,9,bournemouth,evanilson,6.71
Ryan Christie,10,bournemouth,ryan christie,6.3
Ben Doak,11,bournemouth,ben doak,6.741333333333333
Tyler Adams,12,bournemouth,tyler adams,6.85
Adam Smith,15,bournemouth,adam smith,6.741333333333333
Marcus Tavernier,16,bournemouth,marcus tavernier,6.69
Amine Adli,17,bournemouth,amine adli,6.56
BafodÃÂ© DiakitÃÂ©,18,bournemouth,bafode diakite,6.85
Justin Kluivert,19,bournemouth,justin kluivert,6.44
Julio Soler,20,bournemouth,julio soler,6.741333333333333
Romain Faivre,21,bournemouth,romain faivre,6.741333333333333
Eli Junior Kroupi,22,bournemouth,eli junior kroupi,6.23
James Hill,23,bournemouth,james hill,6.37
Antoine Semenyo,24,bournemouth,antoine semenyo,7.63
Hamed Junior TraorÃÂ©,25,bournemouth,hamed junior traore,6.741333333333333
Enes ÃÂnal,26,bournemouth,enes unal,6.741333333333333
Owen Bevan,35,bournemouth,owen bevan,6.741333333333333
Will Dennis,40,bournemouth,will dennis,6.741333333333333
Veljko Milosavljevic?,44,bournemouth,veljko milosavljevic,6.741333333333333
Matai Akinmboni,45,bournemouth,matai akinmboni,6.741333333333333
Callan McKenna,46,bournemouth,callan mckenna,6.741333333333333
Remy Rees-Dottin,50,bournemouth,remy rees-dottin,6.741333333333333
Caoimhin Kelleher,1,brentford,caoimhin kelleher,6.56
Aaron Hickey,2,brentford,aaron hickey,6.1
Rico Henry,3,brentford,rico henry,6.13
Sepp van den Berg,4,brentford,sepp van den berg,6.49
Ethan Pinnock,5,brentford,ethan pinnock,6.449411764705882
Jordan Henderson,6,brentford,jordan henderson,6.45
Kevin Schade,7,brentford,kevin schade,6.6
Mathias Jensen,8,brentford,mathias jensen,6.26
Igor Thiago,9,brentford,igor thiago,7.0
Reiss Nelson,11,brentford,reiss nelson,6.449411764705882
HÃÂ¡kon Rafn Valdimarsson,12,brentford,hakon rafn valdimarsson,6.449411764705882
Matthew Cox,13,brentford,matthew cox,6.449411764705882
Fabio Carvalho,14,brentford,fabio carvalho,6.07
Frank Onyeka,15,brentford,frank onyeka,6.26
Antoni Milambo,17,brentford,antoni milambo,6.449411764705882
Yehor Yarmolyuk,18,brentford,yehor yarmolyuk,6.57
Dango Ouattara,19,brentford,dango ouattara,6.45
Kristoffer Ajer,20,brentford,kristoffer ajer,6.39
Nathan Collins,22,brentford,nathan collins,6.54
Keane Lewis-Potter,23,brentford,keane lewis-potter,6.3
Mikkel Damsgaard,24,brentford,mikkel damsgaard,6.76
Myles Peart-Harris,25,brentford,myles peart-harris,6.449411764705882
Yunus Emre Konak,26,brentford,yunus emre konak,6.449411764705882
Vitaly Janelt,27,brentford,vitaly janelt,6.449411764705882
Ellery Balcombe,31,brentford,ellery balcombe,6.449411764705882
Paris Maghoma,32,brentford,paris maghoma,6.449411764705882
Michael Kayode,33,brentford,michael kayode,6.71
Gustavo Nunes,39,brentford,gustavo nunes,6.449411764705882
Julian Eyestone,41,brentford,julian eyestone,6.449411764705882
Benjamin Arthur,43,brentford,benjamin arthur,6.449411764705882
Romelle Donovan,45,brentford,romelle donovan,6.449411764705882
Bart Verbruggen,1,brighton,bart verbruggen,6.27
Adam Webster,4,brighton,adam webster,6.540625
Lewis Dunk,5,brighton,lewis dunk,6.57
Jan Paul van Hecke,6,brighton,jan paul van hecke,6.7
Solly March,7,brighton,solly march,6.540625
Brajan Gruda,8,brighton,brajan gruda,6.48
Stefanos Tzimas,9,brighton,stefanos tzimas,6.540625
Georginio Rutter,10,brighton,georginio rutter,6.59
Yankuba Minteh,11,brighton,yankuba minteh,7.32
Jack Hinshelwood,13,brighton,jack hinshelwood,6.540625
Tom Watson,14,brighton,tom watson,6.540625
Carlos Baleba,17,brighton,carlos baleba,6.34
Danny Welbeck,18,brighton,danny welbeck,6.04
Charalampos Kostoulas,19,brighton,charalampos kostoulas,6.540625
James Milner,20,brighton,james milner,6.3
Olivier Boscagli,21,brighton,olivier boscagli,6.540625
Kaoru Mitoma,22,brighton,kaoru mitoma,6.62
Jason Steele,23,brighton,jason steele,6.540625
Ferdi KadÃÂ±oÃÂlu,24,brighton,ferdi kadioglu,6.37
Diego GÃÂ³mez,25,brighton,diego gomez,6.38
Yasin Ayari,26,brighton,yasin ayari,6.75
Mats Wieffer,27,brighton,mats wieffer,6.72
Maxim De Cuyper,29,brighton,maxim de cuyper,6.42
JoÃÂ«l Veltman,34,brighton,joel veltman,6.78
Tom McGill,38,brighton,tom mcgill,6.540625
Diego Coppola,42,brighton,diego coppola,6.540625
Martin DÃÂºbravka,1,burnley,martin dubravka,6.86
Kyle Walker,2,burnley,kyle walker,6.35
Quilindschy Hartman,3,burnley,quilindschy hartman,6.79
Joe Worrall,4,burnley,joe worrall,6.23
Maxime EstÃÂ¨ve,5,burnley,maxime esteve,6.34
Axel Tuanzebe,6,burnley,axel tuanzebe,6.451874999999999
Jacob Bruun Larsen,7,burnley,jacob bruun larsen,6.2
Lesley Ugochukwu,8,burnley,lesley ugochukwu,6.33
Lyle Foster,9,burnley,lyle foster,6.5
Marcus Edwards,10,burnley,marcus edwards,6.451874999999999
Jaidon Anthony,11,burnley,jaidon anthony,6.89
Bashir Humphreys,12,burnley,bashir humphreys,6.451874999999999
Max WeiÃÂ,13,burnley,max weiss,6.451874999999999
Connor Roberts,14,burnley,connor roberts,6.451874999999999
Florentino Luis,16,burnley,florentino luis,6.71
Loum Tchaouna,17,burnley,loum tchaouna,6.3
Hjalmar Ekdal,18,burnley,hjalmar ekdal,6.52
Zian Flemming,19,burnley,zian flemming,6.04
Oliver Sonne,22,burnley,oliver sonne,6.451874999999999
Lucas Pires,23,burnley,lucas pires,6.451874999999999
Josh Cullen,24,burnley,josh cullen,6.94
Zeki Amdouni,25,burnley,zeki amdouni,6.451874999999999
Armando Broja,27,burnley,armando broja,6.451874999999999
Hannibal Mejbri,28,burnley,hannibal mejbri,6.12
Josh Laurent,29,burnley,josh laurent,6.11
Mike TrÃÂ©sor,31,burnley,mike tresor,6.451874999999999
VÃÂ¡clav HladkÃÂ½,32,burnley,vaclav hladky,6.451874999999999
Jaydon Banel,34,burnley,jaydon banel,6.451874999999999
Ashley Barnes,35,burnley,ashley barnes,6.451874999999999
Jordan Beyer,36,burnley,jordan beyer,6.451874999999999
Hannes Delcroix,44,burnley,hannes delcroix,6.451874999999999
Enock Agyei,48,burnley,enock agyei,6.451874999999999
Oliver Pimlott,54,burnley,oliver pimlott,6.451874999999999
Robert SÃÂ¡nchez,1,chelsea,robert sanchez,6.35
Marc Cucurella,3,chelsea,marc cucurella,6.94
Tosin Adarabioyo,4,chelsea,tosin adarabioyo,7.04
BenoÃÂ®t Badiashile,5,chelsea,benoit badiashile,6.769333333333334
Levi Colwill,6,chelsea,levi colwill,6.769333333333334
Pedro Neto,7,chelsea,pedro neto,6.75
Enzo FernÃÂ¡ndez,8,chelsea,enzo fernandez,6.89
Liam Delap,9,chelsea,liam delap,6.769333333333334
Cole Palmer,10,chelsea,cole palmer,6.769333333333334
Jamie Gittens,11,chelsea,jamie gittens,6.29
Filip JÃÂ¶rgensen,12,chelsea,filip jorgensen,6.769333333333334
DÃÂ¡rio Essugo,14,chelsea,dario essugo,6.769333333333334
Andrey Santos,17,chelsea,andrey santos,6.28
JoÃÂ£o Pedro,20,chelsea,joao pedro,7.06
Jorrel Hato,21,chelsea,jorrel hato,6.13
Trevoh Chalobah,23,chelsea,trevoh chalobah,7.28
Reece James,24,chelsea,reece james,6.75
MoisÃÂ©s Caicedo,25,chelsea,moises caicedo,7.48
Malo Gusto,27,chelsea,malo gusto,6.4
Wesley Fofana,29,chelsea,wesley fofana,6.769333333333334
Tyrique George,32,chelsea,tyrique george,6.769333333333334
Josh Acheampong,34,chelsea,josh acheampong,6.769333333333334
Marc Guiu,38,chelsea,marc guiu,6.94
EstÃÂªvÃÂ£o,41,chelsea,estevao,6.96
Gabriel Slonina,44,chelsea,gabriel slonina,6.769333333333334
Romeo Lavia,45,chelsea,romeo lavia,6.769333333333334
Alejandro Garnacho,49,chelsea,alejandro garnacho,6.769333333333334
Facundo Buonanotte,-,chelsea,facundo buonanotte,6.769333333333334
Dean Henderson,1,crystal palace,dean henderson,6.73
Daniel MuÃÂ±oz,2,crystal palace,daniel munoz,7.3
Tyrick Mitchell,3,crystal palace,tyrick mitchell,7.05
Maxence Lacroix,5,crystal palace,maxence lacroix,7.15
Marc GuÃÂ©hi,6,crystal palace,marc guehi,7.29
IsmaÃÂ¯la Sarr,7,crystal palace,ismaila sarr,7.09
Jefferson Lerma,8,crystal palace,jefferson lerma,6.22
Eddie Nketiah,9,crystal palace,eddie nketiah,6.841428571428572
YÃÂ©remi Pino,10,crystal palace,yeremi pino,6.57
Chrisantus Uche,12,crystal palace,chrisantus uche,6.841428571428572
Jean-Philippe Mateta,14,crystal palace,jean-philippe mateta,6.74
Nathaniel Clyne,17,crystal palace,nathaniel clyne,6.841428571428572
Daichi Kamada,18,crystal palace,daichi kamada,7.01
Will Hughes,19,crystal palace,will hughes,6.51
Adam Wharton,20,crystal palace,adam wharton,6.87
Romain Esse,21,crystal palace,romain esse,6.841428571428572
Jaydee Canvot,23,crystal palace,jaydee canvot,6.841428571428572
Borna Sosa,24,crystal palace,borna sosa,6.841428571428572
Chris Richards,26,crystal palace,chris richards,7.09
Cheick DoucourÃÂ©,28,crystal palace,cheick doucoure,6.841428571428572
Naouirou Ahamada,29,crystal palace,naouirou ahamada,6.841428571428572
Remi Matthews,31,crystal palace,remi matthews,6.841428571428572
Chadi Riad,34,crystal palace,chadi riad,6.841428571428572
Kaden Rodney,42,crystal palace,kaden rodney,6.841428571428572
Walter BenÃÂ­tez,44,crystal palace,walter benitez,6.841428571428572
Jesurun Rak-Sakyi,49,crystal palace,jesurun rak-sakyi,6.841428571428572
Justin Devenny,55,crystal palace,justin devenny,6.16
Seb Williams,58,crystal palace,seb williams,6.841428571428572
Rio Cardines,59,crystal palace,rio cardines,6.841428571428572
Jordan Pickford,1,everton,jordan pickford,6.75
Nathan Patterson,2,everton,nathan patterson,6.780714285714287
Michael Keane,5,everton,michael keane,7.01
James Tarkowski,6,everton,james tarkowski,7.11
Dwight McNeil,7,everton,dwight mcneil,6.780714285714287
Beto,9,everton,beto,6.45
Iliman Ndiaye,10,everton,iliman ndiaye,7.19
Thierno Barry,11,everton,thierno barry,6.15
Mark Travers,12,everton,mark travers,6.780714285714287
Jake O'Brien,15,everton,jake o'brien,6.75
Vitaliy Mykolenko,16,everton,vitaliy mykolenko,6.41
Jack Grealish,18,everton,jack grealish,7.38
Tyler Dibling,20,everton,tyler dibling,6.780714285714287
Kiernan Dewsbury-Hall,22,everton,kiernan dewsbury-hall,6.99
SÃÂ©amus Coleman,23,everton,seamus coleman,6.780714285714287
Carlos Alcaraz,24,everton,carlos alcaraz,6.25
Idrissa Gueye,27,everton,idrissa gueye,6.63
Tom King,31,everton,tom king,6.780714285714287
Jarrad Branthwaite,32,everton,jarrad branthwaite,6.780714285714287
Merlin RÃÂ¶hl,34,everton,merlin rohl,6.780714285714287
James Garner,37,everton,james garner,7.2
Adam Aznou,39,everton,adam aznou,6.780714285714287
Tim Iroegbunam,42,everton,tim iroegbunam,6.66
Harry Tyrer,53,everton,harry tyrer,6.780714285714287
