player_name,back_number,team,normalized_player_name,rating
David Raya,1,arsenal,david raya,6.57
William Saliba,2,arsenal,william saliba,6.91
Cristhian Mosquera,3,arsenal,cristhian mosquera,6.39
Ben White,4,arsenal,ben white,6.792666667
Piero HincapiÃÂ©,5,arsenal,piero hincapie,6.792666667
Gabriel,6,arsenal,gabriel,6.28
Bukayo Saka,7,arsenal,bukayo saka,7.27
Martin ÃÂdegaard,8,arsenal,martin odegaard,6.792666667
Gabriel Jesus,9,arsenal,gabriel jesus,6.792666667
Eberechi Eze,10,arsenal,eberechi eze,7.17
Gabriel Martinelli,11,arsenal,gabriel martinelli,6.28
Jurrien Timber,12,arsenal,jurrien timber,7.18
Kepa Arrizabalaga,13,arsenal,kepa arrizabalaga,6.792666667
Viktor GyÃÂ¶keres,14,arsenal,viktor gyokeres,6.78
Christian NÃÂ¸rgaard,16,arsenal,christian norgaard,6.792666667
Leandro Trossard,19,arsenal,leandro trossard,7.01
Noni Madueke,20,arsenal,noni madueke,6.792666667
Ethan Nwaneri,22,arsenal,ethan nwaneri,6.792666667
Mikel Merino,23,arsenal,mikel merino,6.72
Kai Havertz,29,arsenal,kai havertz,6.792666667
Riccardo Calafiori,33,arsenal,riccardo calafiori,6.96
MartÃÂ­n Zubimendi,36,arsenal,martin zubimendi,6.93
Declan Rice,41,arsenal,declan rice,7.3
Myles Lewis-Skelly,49,arsenal,myles lewis-skelly,6.14
Max Dowman,56,arsenal,max dowman,6.792666667
Matty Cash,2,aston villa,matty cash,6.89
Victor LindelÃÂ¶f,3,aston villa,victor lindelof,6.65
Ezri Konsa,4,aston villa,ezri konsa,6.7
Tyrone Mings,5,aston villa,tyrone mings,6.65
Ross Barkley,6,aston villa,ross barkley,6.65
John McGinn,7,aston villa,john mcginn,6.72
Youri Tielemans,8,aston villa,youri tielemans,6.65
Harvey Elliott,9,aston villa,harvey elliott,6.65
Emi BuendÃÂ­a,10,aston villa,emi buendia,6.72
Ollie Watkins,11,aston villa,ollie watkins,6.46
Lucas Digne,12,aston villa,lucas digne,6.75
Pau Torres,14,aston villa,pau torres,6.71
AndrÃÂ©s GarcÃÂ­a,16,aston villa,andres garcia,6.65
Donyell Malen,17,aston villa,donyell malen,6.44
Jadon Sancho,19,aston villa,jadon sancho,6.65
Jamaldeen Jimoh-Aloba,20,aston villa,jamaldeen jimoh-aloba,6.65
Ian Maatsen,22,aston villa,ian maatsen,6.31
Emiliano MartÃÂ­nez,23,aston villa,emiliano martinez,6.83
Amadou Onana,24,aston villa,amadou onana,6.86
Lamare Bogarde,26,aston villa,lamare bogarde,6.24
Morgan Rogers,27,aston villa,morgan rogers,6.74
Evann Guessand,29,aston villa,evann guessand,6.33
Marco Bizot,40,aston villa,marco bizot,6.65
Boubacar Kamara,44,aston villa,boubacar kamara,7.05
Djordje PetroviÃÂ,1,bournemouth,djordje petrovic,6.56
JuliÃÂ¡n Araujo,2,bournemouth,julian araujo,6.65
Adrien Truffert,3,bournemouth,adrien truffert,6.95
Lewis Cook,4,bournemouth,lewis cook,6.65
Marcos Senesi,5,bournemouth,marcos senesi,7.13
David Brooks,7,bournemouth,david brooks,6.48
Alex Scott,8,bournemouth,alex scott,6.62
Evanilson,9,bournemouth,evanilson,6.5
Ryan Christie,10,bournemouth,ryan christie,6.38
Ben Doak,11,bournemouth,ben doak,6.65
Tyler Adams,12,bournemouth,tyler adams,6.72
Adam Smith,15,bournemouth,adam smith,6.65
Marcus Tavernier,16,bournemouth,marcus tavernier,6.76
Amine Adli,17,bournemouth,amine adli,6.45
BafodÃÂ© DiakitÃÂ©,18,bournemouth,bafode diakite,6.62
Justin Kluivert,19,bournemouth,justin kluivert,6.32
Julio Soler,20,bournemouth,julio soler,6.65
Romain Faivre,21,bournemouth,romain faivre,6.65
Eli Junior Kroupi,22,bournemouth,eli junior kroupi,6.51
James Hill,23,bournemouth,james hill,6.65
Antoine Semenyo,24,bournemouth,antoine semenyo,7.1
Hamed Junior TraorÃÂ©,25,bournemouth,hamed junior traore,6.65
Enes ÃÂnal,26,bournemouth,enes unal,6.65
Owen Bevan,35,bournemouth,owen bevan,6.65
Will Dennis,40,bournemouth,will dennis,6.65
Veljko Milosavljevic?,44,bournemouth,veljko milosavljevic,6.65
Matai Akinmboni,45,bournemouth,matai akinmboni,6.65
Callan McKenna,46,bournemouth,callan mckenna,6.65
Remy Rees-Dottin,50,bournemouth,remy rees-dottin,6.65
Caoimhin Kelleher,1,brentford,caoimhin kelleher,6.46
Aaron Hickey,2,brentford,aaron hickey,6.31
Rico Henry,3,brentford,rico henry,6.18
Sepp van den Berg,4,brentford,sepp van den berg,6.7
Ethan Pinnock,5,brentford,ethan pinnock,6.580625
Jordan Henderson,6,brentford,jordan henderson,6.58
Kevin Schade,7,brentford,kevin schade,6.91
Mathias Jensen,8,brentford,mathias jensen,6.17
